iter	AUC	Logloss
0	0.6595699631	0.6868132043
1	0.7025130218	0.6803662386
2	0.7047193705	0.6743680467
3	0.7096958094	0.6686315267
4	0.7219826577	0.6624978274
5	0.7219826577	0.6570218527
6	0.7275004045	0.6511072353
7	0.7275004045	0.6458810195
8	0.7275004045	0.6407745773
9	0.7275494904	0.6357096533
10	0.7278309636	0.630486378
11	0.7293745995	0.6251771707
12	0.7294853666	0.6203338733
13	0.7294853666	0.6157893786
14	0.7310077018	0.6108144398
15	0.7310077018	0.6064788807
16	0.7310077018	0.601932365
17	0.7310117648	0.5973388026
18	0.7310117648	0.5928288773
19	0.7319096518	0.5889148418
20	0.7319116113	0.5850379209
21	0.7319116113	0.581301406
22	0.731916471	0.5776323773
23	0.731916471	0.5735789164
24	0.7346508276	0.5695836993
25	0.7346508276	0.5661658729
26	0.7346508276	0.5626560241
27	0.7359170689	0.5589118948
28	0.7362598985	0.5557612315
29	0.7362598985	0.5526477434
30	0.7362598985	0.5496208495
31	0.7362598985	0.5461893037
32	0.7362598985	0.5428713661
33	0.7362598985	0.5400256514
34	0.7362598985	0.5371312637
35	0.7362598985	0.5344388174
36	0.7362598985	0.5318082713
37	0.7373738478	0.5287831651
38	0.7373738478	0.5262883383
39	0.7373777107	0.5236929588
40	0.7373867484	0.5209771552
41	0.7373867484	0.5182106615
42	0.7373867484	0.5158301499
43	0.7373867484	0.5135841367
44	0.737394564	0.5111502035
45	0.737394564	0.5089549677
46	0.737394564	0.5068597244
47	0.7385021975	0.5044167074
48	0.7517799353	0.5019415317
49	0.7517799353	0.4999812672
50	0.7517799353	0.4980931485
51	0.7517799353	0.49586856
52	0.7517799353	0.4940560836
53	0.7520551331	0.4923071983
54	0.7520551331	0.4901162604
55	0.7520551331	0.4884349219
56	0.7520548207	0.4865737813
57	0.7520797192	0.4846020227
58	0.7520797192	0.4830443804
59	0.7527133203	0.4810706249
60	0.7527133203	0.4794628669
61	0.7527133203	0.4779983406
62	0.7527116688	0.4765383219
63	0.7527116688	0.4748313867
64	0.7527116688	0.4734639783
65	0.7527116688	0.4717167122
66	0.7527116688	0.4701353226
67	0.7527116688	0.468470983
68	0.7527116688	0.4672332094
69	0.7527116688	0.4657155477
70	0.7527116688	0.4645329601
71	0.7527116688	0.4633768521
72	0.7527116688	0.4618700807
73	0.7527140279	0.4606947788
74	0.7527140279	0.4595056771
75	0.7527140279	0.4584492385
76	0.7527140279	0.4574163642
77	0.7527140279	0.4561509853
78	0.7533072429	0.4548026936
79	0.7533072429	0.4538302713
80	0.7533072429	0.4527856616
81	0.7533072429	0.45186284
82	0.7533072429	0.4507396211
83	0.7589331261	0.4494544713
84	0.7597708733	0.4486350999
85	0.7608090806	0.4473834401
86	0.7608177722	0.4465770515
87	0.7611032641	0.4458221621
88	0.7611032641	0.4450171149
89	0.7611032641	0.4439913177
90	0.7611032641	0.4430949666
91	0.7611032641	0.4424026009
92	0.7614929698	0.4412896634
93	0.7614929698	0.4402109061
94	0.7614929698	0.4394348153
95	0.7614929698	0.4387500573
96	0.7614929698	0.4377315108
97	0.7614929698	0.4371254136
98	0.7614929698	0.4365323524
99	0.7614929698	0.4358917371
100	0.7614925095	0.4352185365
101	0.7614925095	0.4346616413
102	0.7614925095	0.4337995084
103	0.7614925095	0.4330414671
104	0.7614925095	0.4324186703
105	0.7614925095	0.4318594096
106	0.7614925095	0.4311204696
107	0.7614937026	0.4305544168
108	0.7615251226	0.4298026659
